Address ZIP,count1,count5,count15
10001,0,4,34
10002,1,11,84
10003,1,18,96
10004,0,3,33
10005,1,8,40
10006,0,6,36
10007,0,4,32
10008,0,8,73
10009,2,18,84
10010,2,15,82
10011,2,15,64
10012,1,15,72
10013,1,10,54
10014,1,7,32
10016,3,21,95
10017,1,5,45
10018,1,5,31
10019,0,11,51
10020,1,9,89
10021,1,11,93
10022,2,13,89
10023,1,12,56
10024,1,12,79
10025,0,8,68
10026,1,22,136
10027,0,22,148
10028,1,9,115
10029,1,13,114
10030,0,19,155
10031,1,10,108
10032,0,13,111
10033,1,16,133
10034,0,15,129
10035,1,12,115
10036,0,4,27
10037,3,24,156
10038,0,4,34
10039,2,17,148
10040,1,11,120
10041,0,5,63
10044,3,25,127
10055,0,0,37
10065,1,6,88
10069,0,8,47
10075,1,24,141
10080,0,0,24
10101,0,0,5
10103,0,5,79
10105,0,0,0
10106,0,0,0
10107,0,0,0
10108,0,0,0
10112,0,2,59
10116,0,0,0
10118,0,0,0
10119,0,2,39
10120,0,0,0
10121,0,0,0
10122,0,0,0
10123,0,0,0
10128,0,5,97
10150,0,0,0
10151,0,0,0
10152,0,10,77
10153,0,7,66
10154,0,4,56
10155,0,0,0
10156,0,0,0
10158,0,0,0
10159,0,0,0
10162,0,15,126
10163,0,0,0
10165,0,11,72
10166,0,0,0
10167,0,4,38
10168,0,7,64
10169,0,3,56
10170,0,0,49
10171,0,2,48
10172,0,0,40
10173,0,0,42
10174,0,0,36
10175,0,0,0
10176,0,0,0
10178,0,0,0
10185,0,0,0
10271,0,0,18
10276,0,0,0
10279,0,0,15
10280,0,4,14
10281,0,0,0
10282,1,5,24
10301,2,19,117
10302,2,17,120
10303,1,12,88
10304,1,22,132
10305,1,16,119
10306,2,18,124
10307,1,7,33
10308,1,16,95
10309,0,8,46
10310,1,14,123
10311,0,3,85
10312,1,14,77
10313,0,13,111
10314,0,10,102
10451,0,15,156
10452,1,22,177
10453,3,26,203
10454,1,10,114
10455,0,10,98
10456,3,23,167
10457,1,25,215
10458,2,25,210
10459,1,19,162
10460,1,26,179
10461,2,22,139
10462,3,29,162
10463,2,24,125
10464,1,6,48
10465,1,14,96
10466,2,22,111
10467,2,16,179
10468,2,30,170
10469,1,24,153
10470,1,18,125
10471,1,13,86
10472,1,18,145
10473,2,15,117
10474,0,7,81
10475,1,13,76
10501,0,0,0
10502,0,0,0
10504,0,0,0
10505,0,0,0
10506,0,0,0
10507,0,0,0
10509,0,0,0
10510,0,0,0
10511,0,0,0
10512,0,0,0
10514,0,0,0
10516,0,0,0
10517,0,0,0
10520,0,0,0
10522,0,0,0
10523,0,0,0
10524,0,0,0
10526,0,0,0
10528,0,0,0
10530,0,0,0
10532,0,0,0
10533,0,0,0
10535,0,0,0
10536,0,0,0
10537,0,0,0
10538,0,0,0
10540,0,0,0
10541,0,0,0
10542,0,0,0
10543,0,0,0
10546,0,0,0
10547,0,0,0
10548,0,0,0
10549,0,0,0
10550,0,5,44
10551,0,0,19
10552,0,0,17
10553,0,0,15
10560,0,0,0
10562,0,0,0
10566,0,0,0
10567,0,0,0
10570,0,0,0
10573,0,0,0
10576,0,0,0
10577,0,0,0
10579,0,0,0
10580,0,0,0
10583,0,0,0
10587,0,0,0
10588,0,0,0
10589,0,0,0
10590,0,0,0
10591,0,0,0
10594,0,0,0
10595,0,0,0
10596,0,0,0
10598,0,0,0
10601,0,0,0
10602,0,0,0
10603,0,0,0
10604,0,0,0
10605,0,0,0
10606,0,0,0
10607,0,0,0
10701,0,0,9
10702,0,0,7
10703,0,0,0
10704,0,3,34
10705,0,6,45
10706,0,0,0
10707,0,0,0
10708,0,0,0
10709,0,0,0
10710,0,0,0
10725,0,0,0
10801,0,0,0
10802,0,0,0
10803,0,0,25
10804,0,0,0
10805,0,2,12
10901,0,0,0
10913,0,0,0
10914,0,0,0
10916,0,0,0
10917,0,0,0
10918,0,0,0
10920,0,0,0
10921,0,0,0
10922,0,0,0
10923,0,0,0
10924,0,0,0
10925,0,0,0
10926,0,0,0
10928,0,0,0
10930,0,0,0
10940,0,0,0
10941,0,0,0
10949,0,0,0
10950,0,0,0
10952,0,0,0
10954,0,0,0
10956,0,0,0
10958,0,0,0
10960,0,0,0
10962,0,0,0
10963,0,0,0
10964,0,0,0
10965,0,0,0
10968,0,0,0
10969,0,0,0
10970,0,0,0
10974,0,0,0
10976,0,0,0
10977,0,0,0
10980,0,0,0
10983,0,0,0
10984,0,0,0
10986,0,0,0
10987,0,0,0
10989,0,0,0
10990,0,0,0
10992,0,0,0
10993,0,0,0
10994,0,0,0
11001,0,3,29
11002,0,2,25
11003,0,0,10
11004,1,9,49
11005,0,6,48
11010,0,0,0
11020,0,3,38
11021,0,7,44
11022,0,0,16
11023,0,0,13
11024,0,0,11
11030,0,0,0
11040,0,0,9
11042,0,2,30
11050,0,0,0
11096,0,8,58
11101,0,13,109
11102,1,17,99
11103,1,12,84
11104,1,11,85
11105,1,8,48
11106,2,25,116
11109,0,5,64
11201,1,12,90
11202,1,21,214
11203,0,15,186
11204,2,32,225
11205,1,20,128
11206,1,21,140
11207,2,30,154
11208,1,13,116
11209,1,18,149
11210,3,22,181
11211,2,20,109
11212,3,26,152
11213,1,21,147
11214,2,21,174
11215,1,11,114
11216,2,24,159
11217,1,14,116
11218,3,25,174
11219,0,24,178
11220,2,15,127
11221,2,26,158
11222,1,11,75
11223,2,35,179
11224,2,21,126
11225,1,17,127
11226,2,21,132
11228,2,23,184
11229,3,30,139
11230,0,28,210
11231,1,6,51
11232,0,8,106
11233,1,28,165
11234,1,15,94
11235,2,26,119
11236,3,29,129
11237,1,18,125
11238,2,22,150
11239,1,20,117
11241,0,9,160
11242,0,4,136
11247,0,0,78
11249,0,0,62
11252,0,0,31
11350,0,0,0
11352,0,12,110
11354,0,8,98
11355,3,20,121
11356,1,7,84
11357,1,14,98
11358,2,19,128
11359,0,7,71
11360,1,13,82
11361,2,17,109
11362,2,11,84
11363,0,12,69
11364,0,12,113
11365,1,13,119
11366,1,13,111
11367,1,17,114
11368,2,16,140
11369,2,19,105
11370,0,7,70
11371,0,10,81
11372,1,20,117
11373,1,20,126
11374,2,19,125
11375,1,14,126
11377,1,13,113
11378,1,9,115
11379,2,17,140
11385,1,18,149
11386,0,13,132
11410,0,0,0
11411,0,8,66
11412,3,18,100
11413,0,8,71
11414,1,6,75
11415,1,15,109
11416,1,14,104
11417,0,12,93
11418,1,15,115
11419,1,12,98
11420,1,6,79
11421,1,12,120
11422,1,7,41
11423,2,22,116
11426,1,11,60
11427,1,13,109
11428,1,14,100
11429,0,15,91
11430,0,0,58
11431,0,10,92
11432,0,11,101
11433,2,10,97
11434,0,6,81
11435,0,10,103
11436,1,12,84
11501,0,0,0
11507,0,0,0
11509,0,6,40
11510,0,0,0
11514,0,0,0
11516,0,6,44
11518,0,0,0
11520,0,0,0
11530,0,0,0
11542,0,0,0
11545,0,0,0
11547,0,0,0
11548,0,0,0
11550,0,0,0
11551,0,0,0
11552,0,0,0
11553,0,0,0
11554,0,0,0
11556,0,0,0
11557,0,0,2
11558,0,0,0
11559,0,0,22
11560,0,0,0
11561,0,0,0
11563,0,0,0
11565,0,0,0
11566,0,0,0
11568,0,0,0
11570,0,0,0
11572,0,0,0
11575,0,0,0
11576,0,0,0
11577,0,0,0
11579,0,0,0
11580,0,0,9
11581,0,3,29
11582,0,0,7
11590,0,0,0
11596,0,0,0
11598,0,0,34
11691,2,14,71
11692,1,10,70
11693,0,13,63
11694,1,9,46
11697,0,2,35
11701,0,0,0
11702,0,0,0
11703,0,0,0
11704,0,0,0
11705,0,0,0
11706,0,0,0
11709,0,0,0
11710,0,0,0
11713,0,0,0
11714,0,0,0
11715,0,0,0
11716,0,0,0
11717,0,0,0
11718,0,0,0
11719,0,0,0
11720,0,0,0
11721,0,0,0
11722,0,0,0
11724,0,0,0
11725,0,0,0
11726,0,0,0
11727,0,0,0
11729,0,0,0
11730,0,0,0
11731,0,0,0
11732,0,0,0
11733,0,0,0
11735,0,0,0
11738,0,0,0
11739,0,0,0
11740,0,0,0
11741,0,0,0
11742,0,0,0
11743,0,0,0
11746,0,0,0
11747,0,0,0
11749,0,0,0
11751,0,0,0
11752,0,0,0
11753,0,0,0
11754,0,0,0
11755,0,0,0
11756,0,0,0
11757,0,0,0
11758,0,0,0
11762,0,0,0
11763,0,0,0
11764,0,0,0
11765,0,0,0
11766,0,0,0
11767,0,0,0
11768,0,0,0
11769,0,0,0
11771,0,0,0
11772,0,0,0
11776,0,0,0
11777,0,0,0
11778,0,0,0
11779,0,0,0
11780,0,0,0
11782,0,0,0
11783,0,0,0
11784,0,0,0
11786,0,0,0
11787,0,0,0
11788,0,0,0
11789,0,0,0
11790,0,0,0
11791,0,0,0
11792,0,0,0
11793,0,0,0
11795,0,0,0
11796,0,0,0
11797,0,0,0
11798,0,0,0
11801,0,0,0
11802,0,0,0
11803,0,0,0
11804,0,0,0
11901,0,0,0
11930,0,0,0
11932,0,0,0
11933,0,0,0
11934,0,0,0
11937,0,0,0
11939,0,0,0
11940,0,0,0
11942,0,0,0
11944,0,0,0
11946,0,0,0
11948,0,0,0
11949,0,0,0
11950,0,0,0
11952,0,0,0
11953,0,0,0
11954,0,0,0
11955,0,0,0
11957,0,0,0
11958,0,0,0
11959,0,0,0
11961,0,0,0
11963,0,0,0
11965,0,0,0
11967,0,0,0
11968,0,0,0
11971,0,0,0
11972,0,0,0
11975,0,0,0
11976,0,0,0
11978,0,0,0
11980,0,0,0
11451,0,10,95
10072,0,6,55
10082,2,13,56
10015,1,6,39
10046,0,2,28
10047,0,1,24
11425,0,15,153
10111,0,3,69
10149,0,1,50
10278,0,6,49
10557,0,1,49
10558,0,0,42
11381,0,5,86
11390,0,2,75
11248,0,8,79
11254,0,5,70
11240,1,17,124
11255,0,11,110
10199,0,3,30
10098,0,4,46
10200,0,8,112
11244,1,11,94
10079,0,3,29
11120,0,8,96
10110,0,16,83
10115,2,16,111
10094,0,2,25
10096,0,1,21
10043,0,3,54
10045,0,1,45
10048,0,0,21
10099,0,0,18
10177,0,0,41
10184,0,0,15
10196,0,0,12
10197,0,0,10
11351,1,17,94
10499,0,17,159
11243,0,1,115
11245,0,0,96
10060,0,0,30
10081,0,0,19
10087,0,0,15
11424,0,11,96
11405,1,14,103
11439,0,3,70
11499,0,1,60
10090,0,0,11
11380,0,18,130
10095,0,0,8
10102,0,0,3
10104,0,0,1
11251,0,0,46
11256,0,0,21
11690,1,17,69
11695,0,8,57
11026,0,0,7
11027,0,0,5
11041,0,0,4
11043,0,0,3
11044,0,0,2
11025,0,0,0
11099,0,0,0
11536,0,0,6
